Name,Manufacturer Name,Product Family Name,Product Name,Software Acquisition Method,GUID,Description,Link 1
.NET Foundation WiX (WiX Toolset),.NET Foundation,,WiX Toolset,Commercial-off-the-Shelf (COTS),50028660-9e4d-11e3-74c2-005056975ac8,To be used when installing a in-house developed software package on a desktop/workstation.,https://www.dotnetfoundation.org
1099 Pro 8966 Pro,1099 Pro,,8966 Pro,Commercial-off-the-Shelf (COTS),63aa7d30-1938-11e7-2a04-005056976851,FATCA 8966 tax form management and IRS reporting.,https://www.1099pro.com/prod-FATCA-8966-Software.asp
1099 Pro CRS Software,1099 Pro,,CRS Software,Commercial-off-the-Shelf (COTS),6e12a931-792f-11e7-2a04-005056976851,Common Reporting Standard (CRS) tax form management and IRS reporting.,https://www.1099pro.com/prod-Common-Reporting-Standard-CRS-Software.asp
Accusoft PrizmDoc Server,Accusoft,PrizmDoc,PrizmDoc,Commercial-off-the-Shelf (COTS),c11e5121-7320-11ec-0bfe-005056bd83df,"Through a collection of UI components and content manipulation APIs, the PrizmDoc Suite helps web developers embed document viewing, editing, processing, and conversion into their applications with ease. Our functionality integrates on the client and server side smoothly, creating a seamless experience for both you and your users.",https://www.accusoft.com/products/prizmdoc-suite/
Acro Software CutePDF,Acro Software,,CutePDF,Commercial-off-the-Shelf (COTS),a0c33351-2b0b-11e5-2a04-005056976851,PDF Printer,http://www.cutepdf.com/
Actian PSQL,Actian,,PSQL,Commercial-off-the-Shelf (COTS),e65318a1-be52-11e6-2a04-005056976851,,https://www.actian.com/
ActivePDF Server,ActivePDF,,Server,Commercial-off-the-Shelf (COTS),213688c0-72c4-11ea-4383-005056bd33fb,"Server by ActivePDF is the print-to-PDF enterprise application for converting anything printable to PDF. Developed for use in high-volume business environments, Server is a scalable PDF printing solution.",https://www.activepdf.com/products/toolkit
Adobe Systems Creative Cloud,Adobe Systems,,Creative Cloud,Commercial-off-the-Shelf (COTS),71fd00b1-c07d-11e6-2a04-005056976851,Design tools,https://www.adobe.com/
Adobe Systems InCopy,Adobe Systems,,InCopy,Commercial-off-the-Shelf (COTS),ff04f2f7-723f-11e7-2a04-005056976851,,https://www.adobe.com/
Alegeus Technologies IVR,Alegeus Technologies,,IVR,Commercial-off-the-Shelf (COTS),04928521-6b01-11e7-2a04-005056976851,Integrated Voice Response (IVR) Platform,https://www.alegeus.com/
Alegeus Technologies MyWealthCareOnline Portal (WCP),Alegeus Technologies,,MyWealthCareOnline (WCP),Commercial-off-the-Shelf (COTS),edcee9e1-6183-11e7-2a04-005056976851,"Website for HSA/HRA/Flex participants to access necessary change and admin forms and general information on the public website. The secured site allows them to check balances, claim status, and all deposits.",https://www.mywealthcareonline.com/wcpdemo/
Alegeus Technologies WealthCare Administration (WCA),Alegeus Technologies,,WealthCare Administration (WCA),Commercial-off-the-Shelf (COTS),6d207201-19eb-11e5-2a04-005056976851,Reimbursement Account administration system.,https://www.wealthcareadmin.com/default.aspx
Alegeus Technologies WealthCare Administration (WCA) API,Alegeus Technologies,,WealthCare Administration (WCA),Commercial-off-the-Shelf (COTS),9cc95940-d081-11e8-4383-005056bd33fb,Alegeus WealthCare RESTful Web Service,https://www.alegeus.com/
Alegeus Technologies WealthCare Invoicing (WCI),Alegeus Technologies,,WealthCare Invoicing (WCI),Commercial-off-the-Shelf (COTS),2d0d33b1-68c7-11e7-2a04-005056976851,Invoice and Billing administration.,https://www.alegeus.com/
Alteryx Designer,Alteryx,,Designer,Commercial-off-the-Shelf (COTS),cc06b2c0-d5b5-11eb-678f-005056bd83df,"Alteryx Designer is a solution that accelerates the process of data preparation, blending and analysis. It streamlines predictive, statistical and spatial analysis with the help of repeatable workflows, allowing creation and sharing of insights in hours instead of weeks.",https://www.alteryx.com/products/alteryx-platform/alteryx-designer
Altova MissionKit,Altova,,MissionKit,Commercial-off-the-Shelf (COTS),f0778330-a932-11e3-74c2-005056975ac8,Development Toolkit,https://www.altova.com/missionkit
Altova XMLSpy,Altova,,XMLSpy,Commercial-off-the-Shelf (COTS),4b69fbb2-a933-11e3-74c2-005056975ac8,XML Editor and Development Tool,https://www.altova.com/xmlspy-xml-editor
American Fidelity 1099 Tax Reporting Process,American Fidelity,,1099 Tax Reporting Process,Custom Build,5c8780d0-53bf-11e3-74c2-005056975ac8,Produce IRS 1099 tax files sent to Thomson Reuters to process 1099 forms for AFA Customers.,
American Fidelity AFenroll,American Fidelity,,AFenroll,Custom Build,a17cfff0-76c8-11e7-2a04-005056976851,Web-based enrollment platform.  Used for AFA product-only and full-benefit enrollments.  Agent-assisted and self-service enroll options available.,https://americanfidelity.visualstudio.com/AFenroll%202.0
