Software,produced by, most broad definition, verb,Desciption,Website
Adobe Systems Creative Cloud,Adobe,Design,Graphics ,Design tools,https://www.adobe.com
American Fidelity General Ledger,American Fidelity,Ledger,Accounting ,Mainframe system prior to PeopleSoft implementation  GLOE accessed via option 9 in ACTG,N/A
Dynatrace DynaTrace,DynaTrace, Performance,Monitor,Application Performance Monitoring (APM),www.dynatrace.com
Infosys VPAS Customer Service Work Desk (CSWD) ,Infosys,Customer Experience,Process Management,VPAS CSWD blends the flexibility and configurability of the leading Business Process Management (BPM) software from Pegasystems with the comprehensive VPAS® Policy Administration System from Infosys McCamish to create a powerful and unique web-based customer service platform to enhance operational excellence and customer experience.,https://www.infosysbpm.com/mccamish/platforms/vpas-platform/
Microsoft Power BI,Microsoft,Business Intelligence,Data Visualization ,BI Dashboarding,powerbi.microsoft.com
Microsoft SQL Server,Microsoft,SQL,Database Management,Microsoft SQL DBMS,https://www.microsoft.com/
Oracle Business Process Management (BPM),Oracle,BPM,Work Flow,Business Process Management,https://www.oracle.com/index.html
Oracle Workforce Planning,Oracle,Business Management,budgeting,Build visual workforce scenarios and forecast growth in one collaborative tool.,https://www.oracle.com/index.html
SourceGear DiffMerge,SourceGear,File Management,Merge,DiffMerge is an application to visually compare and merge files on Windows OS X and Linux.,https://sourcegear.com/
ServiceNow Software Asset Management (SAM),ServiceNow,Asset Liability Management (ALM),Software Management ,Software Asset Management groups key applications into scalable packages that can grow with you as your needs change.,http://www.servicenow.com
TechnoSolutions TopTeam Analyst,TechnoSolutions,Business Process,Requirement Management,Business Process and Requirements lifecycle management software.,https://www.technosolutions.com/
ServiceNow MID Server,ServiceNow,Instrumentation and Discovery,Movement of Data,The Management Instrumentation and Discovery (MID) Server facilitates communication and movement of data between the ServiceNow platform and external applications data sources and services.,http://www.servicenow.com
Wrike Project Management,Wrike,Project Management,Planning,Project Management,https://www.wrike.com
Salesforce Sales Cloud,Salesforce,Sales Automation,Sales Management,Sales Cloud’s sales force automation software helps sales managers highlight team-wide insights that can guide the overall sales strategy from establishing sales quotas to territory management to sales forecasting.,https://www.salesforce.com/products/sales-cloud/overview/
Oracle Database ,Oracle ,Database,data warehousing,Oracle Database is a multi-model database management system produced and marketed by Oracle Corporation. It is a database commonly used for running online transaction processing data warehousing and mixed database workloads.,https://www.oracle.com/index.html
Microsoft Visual Studio,Microsoft,development environment,development,Microsoft Visual Studio is an integrated development environment from Microsoft. It is used to develop computer programs as well as websites web apps web services and mobile apps.,https://visualstudio.microsoft.com/
UKG Pro ,UKG,Workforce Management,Onboarding ,KG Pro™ delivers unique culture-driven solutions for midsize to large enterprise companies to support their people through the major and everyday moments they experience while a part of your organization. From HR payroll to talent to service delivery and everything in between UKG Pro is the powerful human capital management (HCM) suite you need to grow and champion meaningful experiences for your people—no matter their industry or location.,https://www.ukg.com/resources/ukg-pro-product-tour?ecid=7014M0000026yYDQAY&eqid=15556&gclid=Cj0KCQjwgYSTBhDKARIsAB8Kuku44ZYHY1q3l6qjjOlUNS9mWNygykxrEntE8PlacHN3E1lIsluWrrgaAtxwEALw_wcB&gclsrc=aw.ds
Erwin Data Modeler,Erwin,Data modeling,DBMS,Erwin Data Modeler is computer software for data modeling,https://www.erwin.com/register/129426/?gclid=Cj0KCQjwgYSTBhDKARIsAB8KukvyGMuBVyivUdXQ8e8AaTWlNVEhbskiG3hP4vfC_Jx9zE0zYow2gXQaAmFIEALw_wcB&gclsrc=aw.ds
Microsoft Azure Pipelines,Microsoft,Code Management,Code Integration,Azure Pipelines automatically builds and tests code projects to make them available to others. It works with just about any language or project type. Azure Pipelines combines continuous integration (CI) and continuous delivery (CD) to test and build your code and ship it to any target.,https://azure.microsoft.com/en-us/free/search/?&ef_id=Cj0KCQjwgYSTBhDKARIsAB8Kukt8u_ZBhYY8cbxwynj6ea5AQaN56eyvObVxhzO6VNmwtVU77ub5tZYaAvJAEALw_wcB:G:s&OCID=AID2200277_SEM_Cj0KCQjwgYSTBhDKARIsAB8Kukt8u_ZBhYY8cbxwynj6ea5AQaN56eyvObVxhzO6VNmwtVU77ub5tZYaAvJAEALw_wcB:G:s&gclid=Cj0KCQjwgYSTBhDKARIsAB8Kukt8u_ZBhYY8cbxwynj6ea5AQaN56eyvObVxhzO6VNmwtVU77ub5tZYaAvJAEALw_wcB
IBM Data Facility Hierarchical Storage Manager,IBM,Data Structure,Data Management,DFHSM is an IBM®-licensed program to manage volumes and data sets,https://www.ibm.com/docs/en/cics-ts/5.1?topic=facilities-data-facility-hierarchical-storage-manager-dfhsm
Oracle PeopleTools,Oracle,PeopleSoft Management,Development,PeopleTools consists of several technologies for building and customizing applications. While a PeopleTools developer can (and often does) work with many programming languages the primary language is PeopleCode and Application Designer is the primary integrated development environment (IDE).,https://www.oracle.com/us/products/applications/peoplesoft-enterprise/tools-tech/index.html
Wolter’s Kluwer ATX,Wolter's,Tax Preparation,Accounting ,Tax preparation software for small firms sole practitioners CPAs and tax accounting small businesses.,https://taxna.wolterskluwer.com/professional-tax-software/atx
American Fidelity Cash Suspense (SUSP),American Fidelity,Cash Premium Management,Accounting ,Helps balance premium. Any premium received that is not immediately posted is retained in the cash suspense system for accounting purposes.,N/A
Oracle MySQL,Oracle,SQL,Database Management,MySQL is an open-source relational database management system,https://www.mysql.com/
Pervasive Software PSQL,Pervasive,SQL,DBMS Integration,ACID-compliant database management system developed by Pervasive Software. It is optimized for embedding in applications and used in several different types of packaged software applications offered by independent software vendors and original equipment manufacturers.,https://docs.actian.com/psql/psqlv11/wwhelp/wwhimpl/js/html/wwhelp.htm#href=welcome/libwelcome.html
